# N_modes = 6	N_bs = 25	N_ps = 50
[n1, n2]	phi	psi	eta
1	5	4.62739	3.79332	0.4469
2	5	4.25183	5.07134	0.4709
3	4	5.60573	4.58504	0.25606
3	4	0.54625	3.36922	0.37596
1	2	2.65101	6.11427	0.24555
1	4	0.18722	2.3784	0.46457
0	3	1.37374	3.46857	0.01645
1	5	3.17524	5.2113	0.45241
1	5	0.16673	3.88627	0.49202
3	4	1.24933	5.41426	0.41824
0	3	4.08334	3.62761	0.23694
3	4	3.42397	4.42696	0.32353
3	4	1.38507	0.28792	0.32953
2	4	3.70247	1.43193	0.05034
0	5	5.0858	1.81828	0.41829
0	5	0.04083	0.50135	0.3727
4	5	5.06311	1.46267	0.30767
2	5	4.38654	0.63461	0.0892
0	2	2.13786	1.74656	0.18936
2	3	0.97691	3.99412	0.41763
1	3	6.01435	2.29231	0.44156
0	5	2.11489	2.32592	0.47336
2	5	0.58274	1.31637	0.13262
1	4	0.60769	1.67747	0.49583
0	4	5.32496	5.88517	0.36969
