m	n_BS
10	100
[n1, n2]	phi	psi	eta
1	7	3.40756	3.89482	0.20897
4	6	4.51447	0.77014	0.49976
0	9	4.31576	5.32792	0.32705
3	5	2.14596	1.74569	0.3025
4	8	3.42635	4.92849	0.44232
7	8	6.03256	6.09136	0.48852
1	7	5.90003	1.62299	0.49946
0	5	3.16005	0.05244	0.24568
0	7	0.93379	3.17548	0.06599
5	6	5.68554	5.21725	0.49516
1	2	3.63228	2.61548	0.4006
8	9	5.24261	3.26354	0.36804
1	6	0.87918	4.52502	0.23856
3	8	2.46713	1.08691	0.36346
0	7	2.27386	3.04829	0.13555
8	9	5.25149	1.19982	0.29362
2	6	3.70348	4.46798	0.44858
0	6	4.89562	1.72885	0.27663
0	6	3.9867	4.27563	0.46968
3	5	3.71161	4.89361	0.5
3	5	3.77267	2.22454	0.41332
5	8	3.63191	0.52215	0.49987
6	8	0.06208	1.95393	0.48735
4	7	0.56646	5.4999	0.30623
4	9	1.27124	4.71732	0.49078
4	9	3.78613	3.66325	0.03107
2	4	2.71626	4.48091	0.44182
1	9	5.33398	1.11521	0.34342
1	9	3.01642	1.73642	0.46189
2	8	4.58573	5.0388	0.4931
0	8	1.66865	0.16535	0.46785
4	8	2.97371	3.67782	0.08563
0	6	4.14706	2.95313	0.01479
1	2	0.66869	1.22868	0.49431
2	7	1.46736	5.86888	0.39981
5	8	0.76665	0.14595	0.38322
5	7	0.38722	1.03037	0.117
0	2	4.80144	5.36837	0.3949
0	8	3.13293	2.5634	0.1473
0	9	5.74514	2.25512	0.3597
2	8	5.77251	2.85537	0.13965
1	8	1.45111	3.20676	0.09028
7	8	4.80506	5.43122	0.29042
3	6	3.73529	5.3406	0.02141
8	9	5.88328	5.66563	0.42705
6	8	2.55034	4.44577	0.49614
5	7	4.20637	2.61356	0.19695
3	5	4.77164	3.265	0.44146
1	5	6.18297	1.18592	0.21279
1	2	1.50291	3.05605	0.45096
5	7	1.47606	0.13644	0.49212
0	8	1.76568	2.07622	0.49924
4	8	3.62807	5.6837	0.19145
1	5	1.84578	4.56329	0.35919
3	4	2.99272	4.61063	0.49104
2	9	0.69891	4.09652	0.48293
2	7	0.77773	5.69379	0.49366
2	7	0.69283	2.6343	0.10203
2	5	4.9378	6.04197	0.37772
1	9	1.34273	2.95906	0.39993
1	9	4.56034	0.02735	0.47508
1	2	4.89246	5.73607	0.35599
0	3	5.10408	3.10056	0.31238
7	9	5.06877	1.88229	0.20662
2	8	5.66408	6.10134	0.46835
1	7	5.10556	2.72143	0.27941
2	9	0.69799	5.00517	0.28549
5	8	2.54157	5.95086	0.43919
0	7	5.19014	5.12614	0.4187
5	6	0.08727	0.85382	0.20587
6	7	5.29072	4.66504	0.08374
0	2	1.5985	0.25111	0.2866
0	7	4.77831	5.93372	0.08967
2	6	1.92244	1.00801	0.46876
1	2	5.18437	2.23359	0.16796
0	2	2.19373	5.35193	0.40362
1	4	0.68321	5.98789	0.07227
0	7	4.43232	3.84932	0.0523
3	8	3.87591	3.2795	0.16445
0	1	4.66936	0.77018	0.49719
4	8	5.41137	0.77384	0.41749
4	6	2.44824	5.89415	0.18151
2	9	3.72192	3.93615	0.32202
2	9	3.5354	2.40618	0.49679
0	9	2.8491	1.45254	0.14161
1	5	5.48831	3.65025	0.39434
2	4	5.19993	4.43799	0.15008
1	5	3.6778	1.72093	0.48489
4	8	4.18086	5.91557	0.48467
5	8	0.83524	5.8149	0.41962
3	6	2.04091	6.2506	0.04045
1	5	4.22005	3.70871	0.45904
0	1	4.81824	4.55781	0.47312
0	6	0.44872	3.98541	0.39393
0	6	4.16235	2.35412	0.2165
1	9	1.87746	3.37134	0.43005
0	8	1.10201	1.20012	0.49629
5	6	1.71249	3.01025	0.47574
4	9	2.63727	2.77672	0.07073
2	4	4.17725	2.04559	0.4639
