nu	A2	M12	M22	A3	M13	M23	M33	A4	M14	M24	M34	M44
0	0.7335587380821624	0.0	4.440892098500626e-16	0.7335587380821624	0.0	4.440892098500626e-16	5.329070518200751e-15	0.7335587380821624	0.0	4.440892098500626e-16	5.329070518200751e-15	2.708944180085382e-14
1	0.2783606961090281	1.524318752659143	0.31415833342642974	0.24908224401031082	1.5442516432047464	0.33773204047158845	-0.06427981674783771	0.23556582313512311	1.5383039565857448	0.3766488343566137	-0.030787947286141773	-0.10037566282572448
2	0.049823831286657995	2.288261630726116	0.7641784230382727	0.05024626337837061	2.273724689747568	0.7893717073105531	-0.006166390025301723	3.5160451582082684	14.407323254824185	-13.809898603691188	8.009569354623178	-3.553075692448715
3	0.01235181660795552	2.719213775182587	0.8501355035895916	0.012351412756723587	2.7196019220259835	0.7223037922444631	0.06072123631084736	0.01305895010384329	2.6472040011100275	0.9380830887479944	0.1279134456187756	-0.21817529220335607
4	0.0030802565117891982	3.010714336450854	0.8742543541468014	0.003084420706756589	3.011578679513459	0.880640157540002	-0.001935785565994371	0.0032964096630688556	2.9820597781342255	0.9837268956548452	0.05208925405126725	-0.2529150602616587
5	0.0007734763830512975	3.222790178423505	0.8755122200069982	0.0007737650806817091	3.2237447972171687	0.8789032715715789	-0.022469824880729135	0.0008458416620981236	3.2398652913569626	1.0181413295768782	-0.03472765705680307	-0.3611762493958593
6	0.0001955327637549061	3.385227828011977	0.8681150029294767	0.00019535200275209663	3.3858017920993326	0.8682399985889382	-0.041504195479797314	0.00022100374037805124	3.3352867863665643	1.050566700909821	-0.18717857607960212	-0.6017079734614377
7	4.974595158621315e-05	3.5144550909482657	0.735394140815437	4.961424680477474e-05	3.5148421880428242	0.8540215897162904	-0.05874975241608416	5.4028750076883836e-05	3.268191748167559	1.0301271821006988	-0.15854504309520973	-0.3559038182536829
8	1.2730456161549923e-05	3.6206590095562894	0.7157072058747129	1.264541506647273e-05	3.62065900955825	0.7157072060092513	-0.08452646708733164	1.4147854444347124e-05	3.0140048933567014	1.02373224805505	-0.29143384027677766	-0.5556600520420077
9	3.2756216946288023e-06	3.710150801153837	0.696065120282034	3.239644177635783e-06	3.710150801153616	0.6960651202913491	-0.10161432195961857	3.3162629628468348e-06	3.6222879650490927	0.6979532700410879	-0.2742838838585212	-0.16718102960514228
10	8.470023869371484e-07	3.787245388941044	0.6770013285050227	8.312185154844341e-07	3.7872453889410034	0.677001328505699	-0.11624377751903903	8.505821034838452e-07	3.6608067087092686	0.7099941862163129	-0.27258348903853485	-0.1525179495790437
11	2.199900745465993e-07	3.854929026977338	0.6586492845146296	2.1635558727818253e-07	3.8549290269773353	0.6586492845146621	-0.1289636082456113	2.1921522196824154e-07	3.6995878100931	0.818968238333274	-0.24314428941422772	-0.1500542062989913
12	5.7364166161076725e-08	3.9153131476138086	0.6409875670395433	5.615178619683343e-08	3.9153131476138086	0.6409875670395441	-0.14018709248897393	5.740032345172448e-08	3.9153131476138086	0.6409875670395433	-0.1401870924889721	-0.21678377117495984
13	1.5016044537272374e-08	3.969915240422825	0.6239434700128328	1.4462152990523379e-08	3.969915240422825	0.6239434700128328	-0.1502215714993441	1.5029545380371243e-08	3.969915240422825	0.6239434700128328	-0.150221571499344	-0.2089637856997797
14	3.947936528895755e-09	4.019840793628411	0.6074356681576276	3.7691900246417765e-09	4.019840793628411	0.6074356681576276	-0.1592892377702242	3.948665712335478e-09	4.019840793628411	0.6074356681576276	-0.1592892377702242	-0.20055881146140564
15	1.0405981356320766e-09	4.065905242551666	0.5913905834974429	1.004438858614325e-09	4.065905242551666	0.5913905834974429	-0.1675449271665741	1.0405981356320766e-09	4.065905242551666	0.5913905834974429	-0.1675449271665741	-0.19152763873057665
16	2.749868592076781e-10	4.108717466423603	0.5757470891229808	2.6817226578624156e-10	4.108717466423603	0.5757470891229808	-0.17509182373922272	2.749868592076781e-10	4.108717466423603	0.5757470891229808	-0.17509182373922272	-0.18182010676537175
17	7.284802587966745e-11	4.1487380612774505	0.5604572051251608	7.284802587966745e-11	4.1487380612774505	0.5604572051251608	-0.18199258339544144	7.284802587966745e-11	4.1487380612774505	0.5604572051251608	-0.18199258339544144	-0.1714266552562549
18	1.934164558566487e-11	4.186320263148481	0.5454806684554576	1.934164558566487e-11	4.186320263148481	0.5454806684554576	-0.1882856298180684	1.934164558566487e-11	4.186320263148481	0.5454806684554576	-0.1882856298180684	-0.1603499927566645
19	5.145684262195831e-12	4.221739145473846	0.530804634268744	5.145684262195831e-12	4.221739145473846	0.530804634268744	-0.19400450381181145	5.145684262195831e-12	4.221739145473846	0.530804634268744	-0.19400450381181145	-0.14875887732955562
20	1.3714217078984464e-12	4.25515280615668	0.5164822884905895	1.3714217078984464e-12	4.25515280615668	0.5164822884905895	-0.19986520588440726	1.3714217078984464e-12	4.25515280615668	0.5164822884905895	-0.19986520588440726	-0.1352267314839537
21	3.661338627756088e-13	4.286981889999309	0.5022893469394738	3.661338627756088e-13	4.286981889999309	0.5022893469394738	-0.20377815241980102	3.661338627756088e-13	4.286981889999309	0.5022893469394738	-0.20377815241980102	-0.12365571588861712
22	9.789798960620755e-14	4.317189382450489	0.4892246094544781	9.789798960620755e-14	4.317189382450489	0.4892246094544781	-0.205863830526539	9.789798960620755e-14	4.317189382450489	0.4892246094544781	-0.205863830526539	-0.1130849774485796
23	2.6216871227246952e-14	4.345008941256438	0.47387079349344674	2.6216871227246952e-14	4.345008941256438	0.47387079349344674	-0.21238248013145267	2.6216871227246952e-14	4.345008941256438	0.47387079349344674	-0.21238248013145267	-0.07647645386941804
24	7.025997218632581e-15	4.366771136690854	0.45084230468002673	7.025997218632581e-15	4.366771136690854	0.45084230468002673	-0.17893216999911488	7.025997218632581e-15	4.366771136690854	0.45084230468002673	-0.17893216999911488	-0.2542915854687635
25	1.8777232208186565e-15	4.4046261869070875	0.401482213466295	1.8777232208186565e-15	4.4046261869070875	0.401482213466295	-0.027259234534568577	1.8777232208186565e-15	4.4046261869070875	0.401482213466295	-0.027259234534568577	-0.48700414965378513
26	5.063414187787932e-16	4.341667966406357	0.2893233482283861	5.063414187787932e-16	4.341667966406357	0.2893233482283861	0.25899865569593317	5.063414187787932e-16	4.341667966406357	0.2893233482283861	0.25899865569593317	-2.400357472804444
27	1.419844897408496e-16	4.454661806469049	0.08186317694874745	1.419844897408496e-16	4.454661806469049	0.08186317694874745	0.04228508904813566	1.419844897408496e-16	4.454661806469049	0.08186317694874745	0.04228508904813566	2.261055366687742
28	5.1492158486527495e-17	4.829123258798599	1.7805628140658278	5.1492158486527495e-17	4.829123258798599	1.7805628140658278	1.2027965400632752	5.1492158486527495e-17	4.829123258798599	1.7805628140658278	1.2027965400632752	-14.549587410368076
29	5.491705378192444e-18	4.73422495749778	3.743159044564976	5.491705378192444e-18	4.73422495749778	3.743159044564976	-5.118877206173323	5.491705378192444e-18	4.73422495749778	3.743159044564976	-5.118877206173323	-33.86290648490558
30	-2.705085083129065e-17	7.775282384212227	-16.39206263480002	-2.705085083129065e-17	7.775282384212227	-16.39206263480002	172.22517827795457	-2.705085083129065e-17	7.775282384212227	-16.39206263480002	172.22517827795457	-2248.1159551318888
31	5.208825938879446e-19	13.861689572547586	-188.94886720142154	5.208825938879446e-19	13.861689572547586	-188.94886720142154	4589.88372102876	5.208825938879446e-19	13.861689572547586	-188.94886720142154	4589.88372102876	-188070.96065424586
32	1.0645764416415368e-18	6.84189436585676	-15.234987447364816	1.0645764416415368e-18	6.84189436585676	-15.234987447364816	86.58390480110904	1.0645764416415368e-18	6.84189436585676	-15.234987447364816	86.58390480110904	-768.151379166171
33	8.474783522532787e-18	5.955957042911891	-3.3484506826014666	8.474783522532787e-18	5.955957042911891	-3.3484506826014666	5.827362796945238	8.474783522532787e-18	5.955957042911891	-3.3484506826014666	5.827362796945238	52.883704264528205
34	9.316400733975408e-18	6.329437212920718	-1.9229958696639144	9.316400733975408e-18	6.329437212920718	-1.9229958696639144	-15.616659537203873	9.316400733975408e-18	6.329437212920718	-1.9229958696639144	-15.616659537203873	239.50548130559037
35	8.051935243537458e-18	5.018535931804527	-1.0486268018161304	8.051935243537458e-18	5.018535931804527	-1.0486268018161304	-7.013983809631327	8.051935243537458e-18	5.018535931804527	-1.0486268018161304	-7.013983809631327	-5.207658603859272
36	-1.1903165102504765e-17	6.7937544569847965	-0.6296927750712342	-1.1903165102504765e-17	6.7937544569847965	-0.6296927750712342	-27.32538348129549	-1.1903165102504765e-17	6.7937544569847965	-0.6296927750712342	-27.32538348129549	328.58911734407775
37	-2.824712810197892e-18	0.27065632730672107	-6.647196129175309	-2.824712810197892e-18	0.27065632730672107	-6.647196129175309	-31.14603169808841	-2.824712810197892e-18	0.27065632730672107	-6.647196129175309	-31.14603169808841	-178.80453599795132
38	-1.2550214988459429e-17	2.207484803713191	-3.198994505131585	-1.2550214988459429e-17	2.207484803713191	-3.198994505131585	-13.129249500336464	-1.2550214988459429e-17	2.207484803713191	-3.198994505131585	-13.129249500336464	-67.49950140903015
39	4.526618297063907e-18	6.595978782575252	-5.523946204517323	4.526618297063907e-18	6.595978782575252	-5.523946204517323	6.195902867492464	4.526618297063907e-18	6.595978782575252	-5.523946204517323	6.195902867492464	116.43038285193325
40	-4.453825473856671e-18	7.4700987838127	-33.22109618544716	-4.453825473856671e-18	7.4700987838127	-33.22109618544716	270.2171939745507	-4.453825473856671e-18	7.4700987838127	-33.22109618544716	270.2171939745507	-4852.2473359634005
41	-8.081704920106173e-18	1.4977676121399974	-5.144700767089893	-8.081704920106173e-18	1.4977676121399974	-5.144700767089893	-33.49605989918392	-8.081704920106173e-18	1.4977676121399974	-5.144700767089893	-33.49605989918392	-217.8885376897215
42	5.153209041814028e-18	8.350440545682506	-8.522191614818396	5.153209041814028e-18	8.350440545682506	-8.522191614818396	7.9639977789167915	5.153209041814028e-18	8.350440545682506	-8.522191614818396	7.9639977789167915	327.7324511655388
43	-2.3203511123131805e-18	7.936574230054932	-55.50100571376235	-2.3203511123131805e-18	7.936574230054932	-55.50100571376235	586.1140452503324	-2.3203511123131805e-18	7.936574230054932	-55.50100571376235	586.1140452503324	-13788.835961169132
44	-1.08139366380322e-17	3.51441400755664	-13.059317962280575	-1.08139366380322e-17	3.51441400755664	-13.059317962280575	15.601509921679153	-1.08139366380322e-17	3.51441400755664	-13.059317962280575	15.601509921679153	-596.4226364445524
45	-6.123754691186621e-19	12.535916403758929	-114.10300596651292	-6.123754691186621e-19	12.535916403758929	-114.10300596651292	2260.6737070715785	-6.123754691186621e-19	12.535916403758929	-114.10300596651292	2260.6737070715785	-71615.19254718028
46	-4.862499484737216e-18	0.16256205902279364	-32.31045698461054	-4.862499484737216e-18	0.16256205902279364	-32.31045698461054	-330.5307401468156	-4.862499484737216e-18	0.16256205902279364	-32.31045698461054	-330.5307401468156	-5713.580018001466
47	-1.8184447782903998e-18	4.758697067298626	25.24716311874829	-1.8184447782903998e-18	4.758697067298626	25.24716311874829	-98.70833927453336	-1.8184447782903998e-18	4.758697067298626	25.24716311874829	-98.70833927453336	-1626.1126150197242
48	-1.7585820560787943e-17	5.962781993290216	-1.9395494487996885	-1.7585820560787943e-17	5.962781993290216	-1.9395494487996885	9.656939412517545	-1.7585820560787943e-17	5.962781993290216	-1.9395494487996885	9.656939412517545	-98.30316776574364
49	2.4242767446762382e-18	-1.1274346763745067	-35.38195895280703	2.4242767446762382e-18	-1.1274346763745067	-35.38195895280703	-422.3708132487419	2.4242767446762382e-18	-1.1274346763745067	-35.38195895280703	-422.3708132487419	-7381.017873837337
