nu	A2	M12	M22	A3	M13	M23	M33	A4	M14	M24	M34	M44
0	0.5753947517312316	1.0867484689924768e-10	4.3469938759660913e-10	0.5753947517236803	3.8562042448120336e-12	1.5424816979234615e-11	2.804512178037742e-12	0.5753947517236928	3.8562042448120336e-12	1.5424816979234615e-11	2.804512178037742e-12	1.7948877939378625e-12
1	0.29988325906762026	1.753081278318695	0.1024862969864469	0.2632865594262427	1.8186633692536818	0.1037398947956682	-0.007248293010388896	0.24378785792720403	1.9140535882739895	0.07912516961742684	-0.0029178082987533663	0.00030196989726319145
2	0.06716034783282371	2.742812093925356	0.3590285048368711	0.0687048373650046	2.6956471450556414	0.34144312376809766	0.031172376203202422	0.06488356030570364	2.719107411608345	0.43134201096423413	0.04859871090773173	-0.039366997674816655
3	0.027231869449877655	3.2129612254583826	0.40931205627031075	0.02827441214427341	3.294777498270308	0.371348659296246	-0.055368894400142574	0.027002019823313492	3.3607109624828486	0.4659958017669828	-0.3234107251675273	-0.10936043713215325
4	0.013574589436112998	3.494561995993661	0.33558112309733473	0.01484577743601737	3.573380499633479	0.2670700996125003	-0.043079975429470396	0.014524581623986307	3.6775044763868454	0.2194764021030721	-0.12099664065015621	-0.012445035036270837
5	0.0075120517857787065	3.6501079598751294	0.23945438317237835	0.0077914841328605156	3.7005678045683714	0.20468530060871143	-0.027399554844198454	-118.14393242928372	3.721823080395834	0.07490157933017282	-0.08731353987066309	0.008642419490950601
6	0.0041464309956923935	3.718470953019169	0.1773855863979189	0.004033963808689591	3.7667726351656063	0.16505230896347936	-0.017620533075232755	inf	nan	nan	nan	nan
7	0.0022025602375354003	3.750974270516828	0.14258817946956726	0.002061046276886292	3.806581122885834	0.1368977968727721	-0.011118818267365067	inf	nan	nan	nan	nan
8	0.0011388877279166355	3.7714327893243014	0.12125801443505159	-inf	nan	nan	nan	0.0010227911060648543	3.897387731232479	0.09722043938187515	-0.00358157368801848	0.0004250488149255034
9	0.0005749540978130476	3.7902542007626447	0.10801614823528569	-inf	nan	nan	nan	0.00050401283345815	3.9309167512702374	0.06689599812151244	-0.0028205257033178557	0.0003915260416042656
10	0.0002852736020265527	3.810499132205379	0.09960742558202608	-inf	nan	nan	nan	0.0002501023694594017	3.95359028611427	0.04548643296331249	-0.0019846246204224373	0.00029189119658803975
11	0.00014057076331344242	3.8313293090218816	0.09372501628897588	inf	nan	nan	nan	0.00012486769786958674	3.9687151075392872	0.030888002963327922	-0.0013683064342224329	0.00020769284516495646
