nu	A2	M12	M22	A3	M13	M23	M33	A4	M14	M24	M34	M44
0	0.640222722468714	5.575540029667504e-13	2.1269652705768535e-12	0.640222722468669	1.9784174298820288e-14	7.547296121401778e-14	1.328936960476294e-14	0.640222722468669	1.9784174298820288e-14	7.547296121401778e-14	1.328936960476294e-14	8.308020937874706e-15
1	0.3058771268211749	1.5238408636291867	0.12510313246436916	0.33050328445032445	1.5234438756311297	0.11578583585594864	-0.00043457251044831495	0.247978410421364	1.5338822180252174	0.17145958585826052	-0.004342348337569975	-0.005964583065508104
2	0.04665261829178877	2.3313411502962387	0.48113754746160703	0.04714590419801282	2.389226687346996	0.4657282252287652	-0.05292091902120594	0.043555082382937184	2.404899325970495	0.6636179205866446	-0.21482997365749126	-0.1890417929241043
3	0.017864137865267554	2.790130100094923	0.4652700698922677	0.01820742126637057	2.8853458811842883	0.43377195953029274	-0.07345879303659555	0.017916243438402996	3.009163326751685	0.4584335872561013	-0.24831351825557907	-0.04353723013123448
4	0.00764321703515692	3.065282820882218	0.39485885438583784	0.008054073932164042	3.173569544414096	0.3432606933190212	-0.05961652800199604	0.009026671059268323	3.3215352462019276	0.26244366079997083	-0.10752654837934184	-0.008380858507708016
5	0.0034056322289406776	3.2349209656741946	0.3311479931961606	0.0037537171382899764	3.3307216512116002	0.26925880103470956	-0.041228568178517104	0.004370436752411087	3.4149665152212663	0.20415693928401338	-0.055936814219916156	-0.0027434467305377007
6	0.0015542024870480757	3.3423535034455467	0.27984541556231585	0.0017857218926067009	3.4173878588271287	0.21734975246965718	-0.028435210492157754	0.0020545821927557325	3.4627209791798297	0.17465872795899554	-0.03497295883229297	-0.0011705266597652967
7	0.0007222165836161784	3.411144247919454	0.23883240726061827	0.0008591718996130887	3.4674116171272384	0.1807320947030622	-0.020280513209226945	0.0009538558365690933	3.490358484567521	0.15633898725326018	-0.023758221244771675	-0.0005313230641315848
8	0.0003401956581491971	3.4553522875264204	0.2061595440610883	0.00041632301341942466	3.497855350146809	0.15420796726947428	-0.015023740317231934	0.00043593549097479	3.5061708135634424	0.14548250439954383	-0.016716396539490613	-0.00020079058099076858
9	0.00016180724040983183	3.4840537155478146	0.1802203495838817	0.00019482633873837168	3.5154611890361016	0.14009143101071456	-0.0117533095124813	0.0001794365586026661	3.51863587198478	0.1560998163124305	-0.017123652287274988	-0.0007289445056439917
10	7.732573978375424e-05	3.503163993794539	0.15990975310913882	8.79684085435363e-05	3.5249282086772133	0.13517919488118274	-0.009012624752577011	7.25624875109627e-05	3.536846722972229	0.17627001686882104	-0.024953961428097273	-0.003200466206209289
11	3.67440191705566e-05	3.5165944903120985	0.14509615305195112	4.002632654117726e-05	3.532597896509587	0.13017827762029296	-0.006788672555307686	3.1753705593870054e-05	3.5496926489600877	0.17813565936024775	-0.02421784965763432	-0.004056996842298533
12	1.7171551418665427e-05	3.5270680404575314	0.1355511363440312	1.82500601034091e-05	3.5390960735758314	0.12570578597862903	-0.0050607182651287224	1.414606466725828e-05	3.5603224098733603	0.17624360560147073	-0.021936351778290213	-0.004370221323621316
13	7.881027406459009e-06	3.5362219730356887	0.12997176299699578	8.30162765641111e-06	3.5449083123169096	0.12215763476712456	-0.0037287190335035807	6.3392166270966936e-06	3.5694932419142744	0.17382901545739846	-0.01952696732819524	-0.00454578321671534
14	3.5721634783914073e-06	3.54479236314842	0.12679894887331755	3.7573709508333878e-06	3.5506375698081127	0.11964296172392501	-0.0027556811201435508	2.848381839674884e-06	3.5776460453762295	0.17166624805380817	-0.017291855897001097	-0.004721730715039493
15	1.608523533996357e-06	3.5530336558370914	0.12491389250835142	1.6907460373271425e-06	3.5568382251637933	0.11808147137107	-0.0021383847470549033	1.2816908727277005e-06	3.5852237130001146	0.16988102268424235	-0.01537550427045603	-0.00492968248065472
16	7.223630722428479e-07	3.561015363873402	0.12367360742687007	7.572371335780504e-07	3.563731187775498	0.11724141692868492	-0.001834692331578936	5.764622155657468e-07	3.593120862086318	0.16846756167455404	-0.014142882567530537	-0.005115356701364363
17	3.242018187361986e-07	3.5687526066047988	0.12274484177906377	3.3819956224650633e-07	3.5711980445223976	0.11685793719611035	-0.001756926741513711	2.5893108418919716e-07	3.601847180076661	0.16730739701643593	-0.01371802446933294	-0.005225316344126446
18	1.4555616917836909e-07	3.5762504913165425	0.12196393694550148	1.5086889934707506e-07	3.579017487630341	0.11672771057653496	-0.001819732193251513	1.1621884710124722e-07	3.611227522330501	0.16625160331410893	-0.013876003234314633	-0.0052594660401468945
19	6.539960223933907e-08	3.583515733480507	0.12125326779322187	6.729027204046751e-08	3.587011030966736	0.1167240415576598	-0.0019639277366344816	5.2166464758717515e-08	3.6209096293423504	0.1652120873250828	-0.014347739672244602	-0.005240727478578265
20	2.9410504109974038e-08	3.590558080975197	0.12057722365290481	3.002401153381409e-08	3.5950674846829624	0.11677556574980205	-0.0021543794661560843	2.3429079174258073e-08	3.6306150087110125	0.16415817923920015	-0.014944659441492895	-0.005191856014948375
21	1.3237709220364847e-08	3.597389074418644	0.11991993141517214	1.3404994633786887e-08	3.6031238394849825	0.11684318099818858	-0.0023711994143710085	1.0531509431728199e-08	3.640156406632813	0.16309260525649683	-0.015552581291048286	-0.005130759209110913
22	5.963253468876409e-09	3.6040212726913774	0.11927509237625444	5.989556780376643e-09	3.611148597844276	0.11690605753454901	-0.0026037726922364586	4.738624270986484e-09	3.6494220699060413	0.1620299745078558	-0.016111282755530015	-0.005069371590164338
23	2.6883551545685778e-09	3.6104664789515413	0.11863972086872206	2.6783947771436635e-09	3.619121862205952	0.1169514821949743	-0.0028451813751836116	2.1343696533664942e-09	3.658330006032274	0.16099150191223113	-0.016585802834444503	-0.005017173662519778
24	1.2128077637975955e-09	3.6167368065986176	0.11801359519290297	1.1986616199975464e-09	3.627047222642713	0.11697310462522371	-0.003094798422689137	9.623158553710218e-10	3.6669491458319157	0.15992586182911764	-0.016999891969600982	-0.0049586199289778955
