nu	A2	M12	M22	A3	M13	M23	M33	A4	M14	M24	M34	M44
0	0.7803523941079419	0.0	0.0	0.7803523941079419	0.0	0.0	0.0	0.7803523941079419	0.0	0.0	0.0	0.0
1	0.2301615578494955	1.3804064788028851	0.11772438407441659	0.22923781139708996	1.3707651551437459	0.11575947865028366	0.0030973032705708015	0.17317993523871533	1.3218992382212824	0.17031256022768243	0.013212430881382083	-0.004133514684981852
2	0.024223036998311284	1.826971040072871	0.3810553448466956	0.024670257399756784	1.7801923042536205	0.3646838972063256	0.027982874000443525	0.025122521980810438	1.6904890192785564	0.36740993917303794	0.14620671159707127	-0.026083487681985103
3	0.00524891835709469	2.1585771072407267	0.42688986657666106	0.0052618461314020695	2.177029116584907	0.4244745348997009	-0.015355537262897463	0.004995626099457254	2.1295715249739273	0.5584667663755174	0.05582950643265128	-0.10479324910015012
4	0.001276161906542708	2.3783742528344654	0.4099953054119578	0.0012988249214790082	2.4373682928421285	0.39016525514053185	-0.04595329919953205	0.001207352738285025	2.443358957512408	0.5155011032602739	-0.12690101294817552	-0.06955594271025725
5	0.00032940047720411925	2.534770735907789	0.37051689512925745	0.00033427698201967304	2.602777355044308	0.3495645346671208	-0.04801320294461497	0.0003129954492973073	2.642062378538934	0.42775884738895736	-0.13483590975739937	-0.03158580256889484
6	8.779480886822576e-05	2.6487263208997716	0.32794505819846825	8.763064424567256e-05	2.7191323553038087	0.31598637181506045	-0.04350689658369834	8.364693986894141e-05	2.7671465683143164	0.35803588826596894	-0.10026520317396544	-0.013783477026067834
7	2.3642595647689424e-05	2.7331565202569825	0.2928350760139898	2.3238290169055687e-05	2.8066885373853983	0.28879149673448234	-0.038112593960419806	2.1790703147392172e-05	2.979491693598043	0.3266869975964563	-0.1827479828080916	-0.028001004409839148
8	6.361091481695725e-06	2.79838130548224	0.26716412917028276	6.213545586686923e-06	2.875433528625925	0.26639357607340297	-0.033154449991383526	inf	nan	nan	nan	nan
9	1.7079871206996457e-06	2.8513376009068234	0.24840885320263198	1.671832409778444e-06	2.9309721182863795	0.24759533457429697	-0.0288831865438931	-inf	nan	nan	nan	nan
10	4.5856970813840117e-07	2.8958651133305886	0.23393946369019486	4.520340161403644e-07	2.976792133318826	0.23156726909812356	-0.025273619622916306	inf	nan	nan	nan	nan
11	1.233064336573098e-07	2.9341031368465162	0.2221039723557355	1.2270306001412196e-07	3.015220895323466	0.21772655215894712	-0.022234553147014682	inf	nan	nan	nan	nan
12	3.3233240162495265e-08	2.967395011167291	0.2119805198148735	3.3409873688587826e-08	3.047521811063521	0.20572152426189286	-0.019612824645697708	inf	nan	nan	nan	nan
13	8.980265747769126e-09	2.996684904590058	0.2030560108310992	9.103142626352416e-09	3.0713309021199415	0.19595387266389763	-0.016783495564917674	inf	nan	nan	nan	nan
14	2.43301034260958e-09	3.02268330348522	0.19503247566628756	2.470843784103145e-09	3.08101080528157	0.18934912473434734	-0.012569618683699702	-inf	nan	nan	nan	nan
15	6.608372395852708e-10	3.045943919871699	0.18772573809158635	6.690482777746596e-10	3.0830410133395474	0.1842624911144938	-0.007762678437002531	-inf	nan	nan	nan	nan
16	1.7991936812639763e-10	3.0669060299638136	0.18101484327310813	1.8133438237211164e-10	3.086297700477556	0.17923647444415564	-0.003941239186580072	-inf	nan	nan	nan	nan
17	4.909418201907161e-11	3.085922660870697	0.1748101285556385	4.9238014368982685e-11	3.092333019506693	0.17423617161494592	-0.0013184276713007032	-inf	nan	nan	nan	nan
