# N_modes = 6	N_bs = 36	N_ps = 72
[n1, n2]	phi	psi	eta
0	3	1.33263	2.72154	0.75562
2	4	3.31089	0.01648	4.34506
0	2	4.62061	1.86504	5.54257
3	5	4.54727	4.00283	5.02536
0	4	2.34375	4.18006	1.60473
1	3	5.80522	1.01337	5.64327
0	3	5.3851	0.22373	3.8539
0	4	5.27154	5.79482	5.06504
2	5	5.8748	1.80746	4.51688
2	3	3.4764	0.41258	0.93058
3	4	2.12141	1.55045	0.24117
0	1	1.10905	3.86053	0.63996
2	5	0.59205	1.61268	4.90171
0	3	5.85453	6.22909	2.28276
0	5	4.02539	4.58576	4.85009
1	4	1.69586	5.12448	6.0017
2	5	0.12793	2.15974	5.15445
0	3	1.39099	2.59382	6.27624
2	5	5.52441	1.57499	4.81912
3	4	3.95313	5.49746	5.05605
1	2	3.4825	5.53793	0.9136
0	5	0.75185	0.30976	0.75097
4	5	1.5919	1.39563	3.32438
1	4	5.65975	3.44233	0.81604
0	3	4.02146	1.93012	1.54513
1	5	0.87302	1.47146	3.46744
2	3	2.01996	2.72643	3.77569
0	1	4.68672	0.50628	5.50808
0	2	2.67916	5.47392	1.57144
0	3	0.91782	1.72541	4.21485
2	5	2.91517	2.31777	3.70864
4	5	5.24694	2.89422	6.15825
1	2	4.48332	6.24581	1.88975
2	3	5.33694	2.28602	5.41498
0	3	1.1027	4.61251	0.72209
1	5	1.88229	1.16555	1.96324
